coin,blockchain,time_range,whale_transaction_count,total_volume
ETH,Ethereum,2024-12-20 17:00,14,4278.35
ETH,Ethereum,2025-02-03 02:00,12,6967.94
ADA,Cardano,2024-04-16 12:00,4,917.5
ADA,Cardano,2025-06-22 01:00,2,1450.59
BTC,Bitcoin,2024-06-30 15:00,8,21097.45
BTC,Bitcoin,2024-07-24 16:00,12,11246.69
ETH,Ethereum,2024-04-19 01:00,7,8612.85
SOL,Solana,2024-02-11 21:00,9,1518.61
SOL,Solana,2024-02-23 09:00,3,1715.94
ETH,Ethereum,2025-06-23 17:00,22,9057.44
BTC,Bitcoin,2025-06-11 08:00,11,22881.32
SOL,Solana,2025-02-07 18:00,8,2297.47
SOL,Solana,2025-07-18 03:00,2,960.94
ETH,Ethereum,2024-03-30 09:00,7,16346.05
BTC,Bitcoin,2025-04-13 09:00,8,6794.73
BTC,Bitcoin,2024-11-10 17:00,8,19715.75
BTC,Bitcoin,2024-04-28 03:00,9,20266.26
ETH,Ethereum,2024-07-29 16:00,19,9192.79
ETH,Ethereum,2024-09-29 00:00,9,4965.63
SOL,Solana,2024-10-27 23:00,7,2136.35
ADA,Cardano,2025-05-06 17:00,8,740.67
SOL,Solana,2024-03-03 07:00,7,2278.39
BTC,Bitcoin,2025-03-10 09:00,10,20859.98
BTC,Bitcoin,2024-08-22 09:00,12,17792.07
SOL,Solana,2024-03-11 00:00,11,4147.31
ADA,Cardano,2024-05-24 17:00,3,423.26
BTC,Bitcoin,2024-07-01 21:00,10,24099.32
SOL,Solana,2024-12-27 11:00,5,2479.78
ADA,Cardano,2024-04-29 18:00,4,1716.63
ETH,Ethereum,2024-01-11 06:00,28,12401.48
BTC,Bitcoin,2025-04-16 00:00,7,17214.53
BTC,Bitcoin,2024-02-16 23:00,10,8948.32
BTC,Bitcoin,2025-06-19 09:00,9,38561.87
ETH,Ethereum,2025-06-12 10:00,15,11908.5
ADA,Cardano,2025-05-19 07:00,5,939.73
ADA,Cardano,2024-03-10 23:00,3,1021.62
ETH,Ethereum,2025-03-13 05:00,17,13715.58
SOL,Solana,2025-04-11 23:00,4,2034.26
ETH,Ethereum,2025-05-08 09:00,17,12535.52
SOL,Solana,2024-11-26 15:00,7,3268.31
SOL,Solana,2024-08-08 11:00,9,2644.16
ADA,Cardano,2025-03-14 21:00,3,678.41
ETH,Ethereum,2024-11-15 07:00,9,12752.56
ETH,Ethereum,2024-08-01 20:00,16,8531.48
ETH,Ethereum,2024-08-23 00:00,11,11708.89
BTC,Bitcoin,2024-07-05 08:00,8,15398.73
ADA,Cardano,2025-05-24 11:00,4,789.52
ETH,Ethereum,2024-09-12 20:00,12,4059.01
ETH,Ethereum,2024-09-17 00:00,12,20306.98
ETH,Ethereum,2025-02-21 15:00,12,7645.56
BTC,Bitcoin,2024-02-12 15:00,7,15710.07
SOL,Solana,2024-09-07 03:00,6,2423.79
ADA,Cardano,2025-07-05 12:00,4,1400.84
ETH,Ethereum,2024-01-07 08:00,15,19467.21
ETH,Ethereum,2024-12-22 12:00,13,5662.19
BTC,Bitcoin,2025-06-30 02:00,10,29194.41
ETH,Ethereum,2024-10-11 15:00,19,14412.97
ADA,Cardano,2025-03-07 19:00,4,791.64
SOL,Solana,2024-12-13 09:00,7,546.84
ADA,Cardano,2025-04-22 18:00,7,1515.11
ETH,Ethereum,2025-07-09 21:00,8,10250.62
ETH,Ethereum,2025-06-19 03:00,15,11782.53
ADA,Cardano,2024-12-01 03:00,5,252.92
ETH,Ethereum,2025-03-25 10:00,13,9424.64
BTC,Bitcoin,2024-07-10 04:00,8,10405.2
ETH,Ethereum,2024-01-10 00:00,21,18576.13
ADA,Cardano,2025-04-18 05:00,5,962.73
