blockchain,Time_range,whale_transaction_count,total_volume
BSC,2025-07-17 04:00,1,1408.8475626937166
Ethereum,2025-07-17 04:00,12,24569.43449234314
BSC,2025-07-17 03:00,2,5107.446592008639
Ethereum,2025-07-17 03:00,7,29678.47986282201
BSC,2025-07-17 02:00,9,9248.515542277299
Ethereum,2025-07-17 02:00,12,47703.486046804144
BSC,2025-07-17 01:00,10,17987.04017013
Ethereum,2025-07-17 01:00,8,17684.171937523948
BSC,2025-07-17 00:00,2,2482.0080572942734
Ethereum,2025-07-17 00:00,6,19641.38771429935
BSC,2025-07-16 23:00,4,3808.9999615492
Ethereum,2025-07-16 23:00,27,96823.69840483149
BSC,2025-07-16 22:00,3,1895.1407416057623
Ethereum,2025-07-16 22:00,17,64539.50843679176
BSC,2025-07-16 21:00,4,2000.0423403080001
Ethereum,2025-07-16 21:00,23,112463.42030430594
BSC,2025-07-16 20:00,5,3485.5513103166863
Ethereum,2025-07-16 20:00,50,248707.65199520448
BSC,2025-07-16 19:00,1,722.797114292651
Ethereum,2025-07-16 19:00,41,122579.05647428005
BSC,2025-07-16 18:00,6,7312.312091051575
Ethereum,2025-07-16 18:00,52,113514.7517164138
BSC,2025-07-16 17:00,4,5050.23948552895
Ethereum,2025-07-16 17:00,45,126263.10656460849
BSC,2025-07-16 16:00,9,11100.67343791
Ethereum,2025-07-16 16:00,20,80405.23141367562
BSC,2025-07-16 15:00,10,10292.845046699707
Ethereum,2025-07-16 15:00,47,240210.60615351255
BSC,2025-07-16 14:00,3,4008.070724148669
Ethereum,2025-07-16 14:00,37,146985.60961175943
BSC,2025-07-16 13:00,14,20627.437408234902
Ethereum,2025-07-16 13:00,48,227569.31864339678
BSC,2025-07-16 12:00,4,8293.35800256
Ethereum,2025-07-16 12:00,14,55323.39266984178
BSC,2025-07-16 11:00,4,5893.158824065338
Ethereum,2025-07-16 11:00,18,84377.77854787919
BSC,2025-07-16 10:00,3,2032.21001088
Ethereum,2025-07-16 10:00,24,55316.28080604941
BSC,2025-07-16 09:00,3,4006.8614751161
Ethereum,2025-07-16 09:00,17,114581.57539424268
BSC,2025-07-16 08:00,12,17969.35353501373
Ethereum,2025-07-16 08:00,25,115871.45811086938
BSC,2025-07-16 07:00,13,22198.3745109515
Ethereum,2025-07-16 07:00,27,86911.36252022526
BSC,2025-07-16 06:00,1,2476
Ethereum,2025-07-16 06:00,21,86072.6651830283
Ethereum,2025-07-16 05:00,15,30432.7969768742
BSC,2025-07-16 04:00,7,9173.9999879
Ethereum,2025-07-16 04:00,9,19952.509573879
BSC,2025-07-16 03:00,4,5284.467499812903
Ethereum,2025-07-16 03:00,9,42441.704659457995
BSC,2025-07-16 02:00,6,9932.08995351
Ethereum,2025-07-16 02:00,13,28649.478974289603
BSC,2025-07-16 01:00,12,18762.236389130205
Ethereum,2025-07-16 01:00,6,16551.998326173005
Ethereum,2025-07-16 00:00,14,51988.56227125652
BSC,2025-07-15 23:00,4,3670.8566215769997
Ethereum,2025-07-15 23:00,13,22336.168927827504
BSC,2025-07-15 22:00,6,20108.5269101745
Ethereum,2025-07-15 22:00,10,53841.50496617639
BSC,2025-07-15 21:00,1,518
Ethereum,2025-07-15 21:00,12,88263.46141436986
BSC,2025-07-22 23:00,3,7175.9999849285
Ethereum,2025-07-22 23:00,19,44011.41553716859
BSC,2025-07-22 22:00,4,3443.9348361111024
Ethereum,2025-07-22 22:00,11,35711.20897414449
Ethereum,2025-07-23 12:00,13,146598.6138010597
BSC,2025-07-23 11:00,7,4364.952229995929
Ethereum,2025-07-23 11:00,12,52287.4748348127
BSC,2025-07-23 10:00,5,3115.7697175623
Ethereum,2025-07-23 10:00,15,47070.88942236389
BSC,2025-07-23 09:00,3,1856.819776
Ethereum,2025-07-23 09:00,28,90470.14757872449
BSC,2025-07-23 08:00,5,4317.650220987351
Ethereum,2025-07-23 08:00,16,58165.30760467664
BSC,2025-07-23 07:00,12,25888.4504485088
Ethereum,2025-07-23 07:00,16,114639.08456194564
BSC,2025-07-23 06:00,26,14748.464256235997
Ethereum,2025-07-23 06:00,17,117904.80526816953
BSC,2025-07-23 05:00,37,47410.540136016796
Ethereum,2025-07-23 05:00,4,5465.659969296108
BSC,2025-07-23 04:00,7,9672.504999087458
Ethereum,2025-07-23 04:00,9,20620.045892760798
BSC,2025-07-23 03:00,4,6053.2844191
Ethereum,2025-07-23 03:00,8,38810.3360584072
BSC,2025-07-23 02:00,7,8964.328423910836
Ethereum,2025-07-23 02:00,15,25741.70981949105
BSC,2025-07-23 01:00,5,6784.999924691001
Ethereum,2025-07-23 01:00,25,126167.12384413133
BSC,2025-07-23 00:00,16,21354.49970180683
Ethereum,2025-07-23 00:00,18,84020.50588396966
Ethereum,2025-07-24 01:00,11,36792.40833080534
BSC,2025-07-24 00:00,2,1097.1399999999999
Ethereum,2025-07-24 00:00,5,25615.862342211985
Ethereum,2025-07-23 23:00,13,26065.462912136336
BSC,2025-07-23 22:00,2,1591.9999928297
Ethereum,2025-07-23 22:00,22,76163.68891389269
BSC,2025-07-23 21:00,4,3459.8578376784017
Ethereum,2025-07-23 21:00,13,26831.726916991385
BSC,2025-07-23 20:00,4,3689.0299889867
Ethereum,2025-07-23 20:00,31,120222.11754823066
BSC,2025-07-23 19:00,3,1679.395518449
Ethereum,2025-07-23 19:00,35,198031.43116841142
BSC,2025-07-23 18:00,3,1783.39551008
Ethereum,2025-07-23 18:00,29,147413.94470105512
BSC,2025-07-23 17:00,15,39501.581877865196
Ethereum,2025-07-23 17:00,31,198694.25021248736
BSC,2025-07-23 16:00,6,4833.296178024
Ethereum,2025-07-23 16:00,56,311291.11456888035
BSC,2025-07-23 15:00,3,2421.26372607
Ethereum,2025-07-23 15:00,40,108941.50786370607
BSC,2025-07-23 14:00,9,7791.677595190127
Ethereum,2025-07-23 14:00,40,130876.25077574089
BSC,2025-07-23 13:00,12,15635.526505452788
Ethereum,2025-07-23 13:00,51,264510.64985405
BSC,2025-07-23 12:00,6,5854.999884018691
Ethereum,2025-07-24 15:00,56,353698.18374697154
BSC,2025-07-24 14:00,4,3662.415195641897
Ethereum,2025-07-24 14:00,32,194848.14149175765
Ethereum,2025-07-24 13:00,46,310427.6325401589
BSC,2025-07-24 12:00,2,1399.9999977950001
Ethereum,2025-07-24 12:00,23,67321.16831306687
BSC,2025-07-24 11:00,2,5131.887737758199
Ethereum,2025-07-24 11:00,16,41454.022285510066
Ethereum,2025-07-24 10:00,34,102830.35410954716
BSC,2025-07-24 09:00,8,23851.562602792
Ethereum,2025-07-24 09:00,14,32212.029525353915
BSC,2025-07-24 08:00,5,47227.52152137991
Ethereum,2025-07-24 08:00,22,39919.61732168886
BSC,2025-07-24 07:00,5,13342.679676983
Ethereum,2025-07-24 07:00,16,104821.8073854647
BSC,2025-07-24 06:00,5,11858.1763867264
Ethereum,2025-07-24 06:00,16,59847.90430531613
BSC,2025-07-24 05:00,3,6697.563137281601
Ethereum,2025-07-24 05:00,17,74578.13387408227
BSC,2025-07-24 04:00,2,3399.9999900000003
Ethereum,2025-07-24 04:00,7,13949.70912463
Ethereum,2025-07-24 03:00,15,44822.056684928444
BSC,2025-07-24 02:00,7,6990.65612552
Ethereum,2025-07-24 02:00,13,23025.623208802557
BSC,2025-07-24 01:00,4,4417.1400028285
BSC,2025-07-25 04:00,4,4826.260837808692
Ethereum,2025-07-25 04:00,13,23877.511688555343
BSC,2025-07-25 03:00,5,4228.630605507472
Ethereum,2025-07-25 03:00,10,27731.842578443513
BSC,2025-07-25 02:00,3,4233.637677211417
Ethereum,2025-07-25 02:00,13,54006.68556883945
BSC,2025-07-25 01:00,10,12669.07079434
Ethereum,2025-07-25 01:00,16,161986.54531802383
BSC,2025-07-25 00:00,18,10596.363986640401
Ethereum,2025-07-25 00:00,4,6522.439317258
Ethereum,2025-07-24 23:00,7,23776.93252430106
Ethereum,2025-07-24 22:00,26,70269.62979980948
BSC,2025-07-24 21:00,1,1041.0302437486628
Ethereum,2025-07-24 21:00,24,76648.32058845233
BSC,2025-07-24 20:00,5,9183.73649199822
Ethereum,2025-07-24 20:00,23,62241.778383326135
BSC,2025-07-24 19:00,2,4784.63181142
Ethereum,2025-07-24 19:00,34,55498.323322611395
BSC,2025-07-24 18:00,2,6455.9937120085
Ethereum,2025-07-24 18:00,38,96963.94340481373
BSC,2025-07-24 17:00,3,2356.2633488752
Ethereum,2025-07-24 17:00,43,202735.93831574687
BSC,2025-07-24 16:00,2,6838.983392996142
Ethereum,2025-07-24 16:00,25,76787.77308924562
BSC,2025-07-24 15:00,3,9320
BSC,2025-07-25 17:00,1,962.9999978999999
Ethereum,2025-07-25 17:00,9,25075.910759676983
BSC,2025-07-25 16:00,2,1312.0993358407
Ethereum,2025-07-25 16:00,49,176145.38326164646
BSC,2025-07-25 15:00,3,6107.018280955201
Ethereum,2025-07-25 15:00,38,187425.59712427185
BSC,2025-07-25 14:00,2,5520.06412557
Ethereum,2025-07-25 14:00,44,107629.378051339
BSC,2025-07-25 13:00,4,8527.51816634
Ethereum,2025-07-25 13:00,37,153740.13301653552
